"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"49" "7 or more Axle" 455 680 15085 225 " Tundla ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Tundla ( Public Funded )  Km 225.000 - NH-2 in Uttar Pradesh  " " Tundla - Makhanpur  " 50.873 "s) " "( Public Funded ) " 3654500000 2009-04-11 1623700000 2015-02-28 2013-02-07 "Sr No. - S.O.336" NA "Sh.Ajay Agrawal / 9826070513" "M/s Eagle Infra India Ltd." NA 2001-01-01 270044 2013-10-31 FALSE
"50" "Car/Jeep/Van" 20 35 725 10 " Brahamarakotlu ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230.00" 2015-04-01 2016-03-31 " Brahamarakotlu ( Public Funded )  Km 331.290 - NH-73 (Old 48) in Karnataka  " " New Mangalore Port (B.C.Road - Padil From Km 328.00 - Km 345.00)  " NA "s) " "( Public Funded ) " 1815000000 2013-12-05 83700000 2015-02-28 2013-06-25 "Sr No. - S.O.1849" 40000 "M. GopalKrishna Melanta / 9343564275" "M/s. Inderdeep Construction Co." NA 2014-01-01 20114 2013-08-19 TRUE
"51" "LCV" 35 55 1170 20 " Brahamarakotlu ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230.00" 2015-04-01 2016-03-31 " Brahamarakotlu ( Public Funded )  Km 331.290 - NH-73 (Old 48) in Karnataka  " " New Mangalore Port (B.C.Road - Padil From Km 328.00 - Km 345.00)  " NA "s) " "( Public Funded ) " 1815000000 2013-12-05 83700000 2015-02-28 2013-06-25 "Sr No. - S.O.1849" 40000 "M. GopalKrishna Melanta / 9343564275" "M/s. Inderdeep Construction Co." NA 2014-01-01 20114 2013-08-19 TRUE
"52" "Bus/Truck" 75 110 2450 35 " Brahamarakotlu ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230.00" 2015-04-01 2016-03-31 " Brahamarakotlu ( Public Funded )  Km 331.290 - NH-73 (Old 48) in Karnataka  " " New Mangalore Port (B.C.Road - Padil From Km 328.00 - Km 345.00)  " NA "s) " "( Public Funded ) " 1815000000 2013-12-05 83700000 2015-02-28 2013-06-25 "Sr No. - S.O.1849" 40000 "M. GopalKrishna Melanta / 9343564275" "M/s. Inderdeep Construction Co." NA 2014-01-01 20114 2013-08-19 TRUE
"53" "Upto 3 Axle Vehicle" 80 120 2670 40 " Brahamarakotlu ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230.00" 2015-04-01 2016-03-31 " Brahamarakotlu ( Public Funded )  Km 331.290 - NH-73 (Old 48) in Karnataka  " " New Mangalore Port (B.C.Road - Padil From Km 328.00 - Km 345.00)  " NA "s) " "( Public Funded ) " 1815000000 2013-12-05 83700000 2015-02-28 2013-06-25 "Sr No. - S.O.1849" 40000 "M. GopalKrishna Melanta / 9343564275" "M/s. Inderdeep Construction Co." NA 2014-01-01 20114 2013-08-19 TRUE
"54" "4 to 6 Axle" 115 175 3840 60 " Brahamarakotlu ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230.00" 2015-04-01 2016-03-31 " Brahamarakotlu ( Public Funded )  Km 331.290 - NH-73 (Old 48) in Karnataka  " " New Mangalore Port (B.C.Road - Padil From Km 328.00 - Km 345.00)  " NA "s) " "( Public Funded ) " 1815000000 2013-12-05 83700000 2015-02-28 2013-06-25 "Sr No. - S.O.1849" 40000 "M. GopalKrishna Melanta / 9343564275" "M/s. Inderdeep Construction Co." NA 2014-01-01 20114 2013-08-19 TRUE
"55" "HCM/EME" 115 175 3840 60 " Brahamarakotlu ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230.00" 2015-04-01 2016-03-31 " Brahamarakotlu ( Public Funded )  Km 331.290 - NH-73 (Old 48) in Karnataka  " " New Mangalore Port (B.C.Road - Padil From Km 328.00 - Km 345.00)  " NA "s) " "( Public Funded ) " 1815000000 2013-12-05 83700000 2015-02-28 2013-06-25 "Sr No. - S.O.1849" 40000 "M. GopalKrishna Melanta / 9343564275" "M/s. Inderdeep Construction Co." NA 2014-01-01 20114 2013-08-19 TRUE
"56" "7 or more Axle" 140 210 4675 70 " Brahamarakotlu ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230.00" 2015-04-01 2016-03-31 " Brahamarakotlu ( Public Funded )  Km 331.290 - NH-73 (Old 48) in Karnataka  " " New Mangalore Port (B.C.Road - Padil From Km 328.00 - Km 345.00)  " NA "s) " "( Public Funded ) " 1815000000 2013-12-05 83700000 2015-02-28 2013-06-25 "Sr No. - S.O.1849" 40000 "M. GopalKrishna Melanta / 9343564275" "M/s. Inderdeep Construction Co." NA 2014-01-01 20114 2013-08-19 TRUE
"57" "Car/Jeep/Van" 20 30 635 10 " Cable Stayed Naini Bridge ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Cable Stayed Naini Bridge ( Public Funded )  Km 1.600 - NH-27 in Uttar Pradesh  " " Cable Stayed Bridge at Naini and its approach  " NA "s) " "( Public Funded ) " 2957300000 2005-02-15 819300000 2015-02-28 2013-03-26 "Sr No. - 838" NA "Sh. Amarnath Mishra / 9936796339" "M/s Bholanath Rajapati Shukla" NA 2001-01-01 NA 2001-01-01 FALSE
"58" "LCV" 30 45 1025 15 " Cable Stayed Naini Bridge ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Cable Stayed Naini Bridge ( Public Funded )  Km 1.600 - NH-27 in Uttar Pradesh  " " Cable Stayed Bridge at Naini and its approach  " NA "s) " "( Public Funded ) " 2957300000 2005-02-15 819300000 2015-02-28 2013-03-26 "Sr No. - 838" NA "Sh. Amarnath Mishra / 9936796339" "M/s Bholanath Rajapati Shukla" NA 2001-01-01 NA 2001-01-01 FALSE
"59" "Bus/Truck" 65 95 2145 30 " Cable Stayed Naini Bridge ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Cable Stayed Naini Bridge ( Public Funded )  Km 1.600 - NH-27 in Uttar Pradesh  " " Cable Stayed Bridge at Naini and its approach  " NA "s) " "( Public Funded ) " 2957300000 2005-02-15 819300000 2015-02-28 2013-03-26 "Sr No. - 838" NA "Sh. Amarnath Mishra / 9936796339" "M/s Bholanath Rajapati Shukla" NA 2001-01-01 NA 2001-01-01 FALSE
"60" "Upto 3 Axle Vehicle" 70 105 2340 35 " Cable Stayed Naini Bridge ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Cable Stayed Naini Bridge ( Public Funded )  Km 1.600 - NH-27 in Uttar Pradesh  " " Cable Stayed Bridge at Naini and its approach  " NA "s) " "( Public Funded ) " 2957300000 2005-02-15 819300000 2015-02-28 2013-03-26 "Sr No. - 838" NA "Sh. Amarnath Mishra / 9936796339" "M/s Bholanath Rajapati Shukla" NA 2001-01-01 NA 2001-01-01 FALSE
"61" "4 to 6 Axle" 100 150 3365 50 " Cable Stayed Naini Bridge ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Cable Stayed Naini Bridge ( Public Funded )  Km 1.600 - NH-27 in Uttar Pradesh  " " Cable Stayed Bridge at Naini and its approach  " NA "s) " "( Public Funded ) " 2957300000 2005-02-15 819300000 2015-02-28 2013-03-26 "Sr No. - 838" NA "Sh. Amarnath Mishra / 9936796339" "M/s Bholanath Rajapati Shukla" NA 2001-01-01 NA 2001-01-01 FALSE
"62" "HCM/EME" 100 150 3365 50 " Cable Stayed Naini Bridge ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Cable Stayed Naini Bridge ( Public Funded )  Km 1.600 - NH-27 in Uttar Pradesh  " " Cable Stayed Bridge at Naini and its approach  " NA "s) " "( Public Funded ) " 2957300000 2005-02-15 819300000 2015-02-28 2013-03-26 "Sr No. - 838" NA "Sh. Amarnath Mishra / 9936796339" "M/s Bholanath Rajapati Shukla" NA 2001-01-01 NA 2001-01-01 FALSE
"63" "7 or more Axle" 110 170 3750 55 " Cable Stayed Naini Bridge ( Public Funded ) " 1 NA 2015-04-01 2016-03-31 " Cable Stayed Naini Bridge ( Public Funded )  Km 1.600 - NH-27 in Uttar Pradesh  " " Cable Stayed Bridge at Naini and its approach  " NA "s) " "( Public Funded ) " 2957300000 2005-02-15 819300000 2015-02-28 2013-03-26 "Sr No. - 838" NA "Sh. Amarnath Mishra / 9936796339" "M/s Bholanath Rajapati Shukla" NA 2001-01-01 NA 2001-01-01 FALSE
"64" "Car/Jeep/Van" 90 135 3045 NA " Bassi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Bassi ( BOT )  Km 929.629 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 275500000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Jaldhip singh / 7665431340" "Chittorgarh-Kota Tollway Pvt. Ltd." 64 2014-12-01 74 2013-12-01 FALSE
"65" "LCV" 140 215 4735 NA " Bassi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Bassi ( BOT )  Km 929.629 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 275500000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Jaldhip singh / 7665431340" "Chittorgarh-Kota Tollway Pvt. Ltd." 64 2014-12-01 74 2013-12-01 FALSE
"66" "Bus/Truck" 290 430 9610 NA " Bassi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Bassi ( BOT )  Km 929.629 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 275500000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Jaldhip singh / 7665431340" "Chittorgarh-Kota Tollway Pvt. Ltd." 64 2014-12-01 74 2013-12-01 FALSE
"67" "Upto 3 Axle Vehicle" 440 660 14695 NA " Bassi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Bassi ( BOT )  Km 929.629 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 275500000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Jaldhip singh / 7665431340" "Chittorgarh-Kota Tollway Pvt. Ltd." 64 2014-12-01 74 2013-12-01 FALSE
"68" "4 to 6 Axle" 440 660 14695 NA " Bassi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Bassi ( BOT )  Km 929.629 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 275500000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Jaldhip singh / 7665431340" "Chittorgarh-Kota Tollway Pvt. Ltd." 64 2014-12-01 74 2013-12-01 FALSE
"69" "HCM/EME" 440 660 14695 NA " Bassi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Bassi ( BOT )  Km 929.629 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 275500000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Jaldhip singh / 7665431340" "Chittorgarh-Kota Tollway Pvt. Ltd." 64 2014-12-01 74 2013-12-01 FALSE
"70" "7 or more Axle" 565 850 18840 NA " Bassi ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Bassi ( BOT )  Km 929.629 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 275500000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Jaldhip singh / 7665431340" "Chittorgarh-Kota Tollway Pvt. Ltd." 64 2014-12-01 74 2013-12-01 FALSE
"71" "Car/Jeep/Van" 55 80 1800 NA " Aroli ( BOT ) " 1 "Monthly applicable local non-commercial vehicles Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Aroli ( BOT )  Km 986.469 - NH-76 (Old 27) in Rajasthan  " " Chittorgarh - Kota Section  " 54 "s) " "( BOT ) " NA 2011-08-01 281300000 2013-11-30 2008-12-05 "Sr No. - )" 240 "Naresh kumar Yadav / 9783823023" "Chittorgarh-Kota Tollway Pvt. Ltd." 67 2014-12-01 77 2013-12-01 FALSE
"72" "LCV" 85 130 2910 NA " Aroli ( BOT ) " 1 "Monthly applicable local non-commercial vehicles Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Aroli ( BOT )  Km 986.469 - NH-76 (Old 27) in Rajasthan  " " Chittorgarh - Kota Section  " 54 "s) " "( BOT ) " NA 2011-08-01 281300000 2013-11-30 2008-12-05 "Sr No. - )" 240 "Naresh kumar Yadav / 9783823023" "Chittorgarh-Kota Tollway Pvt. Ltd." 67 2014-12-01 77 2013-12-01 FALSE
"73" "Bus/Truck" 185 275 6095 NA " Aroli ( BOT ) " 1 "Monthly applicable local non-commercial vehicles Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Aroli ( BOT )  Km 986.469 - NH-76 (Old 27) in Rajasthan  " " Chittorgarh - Kota Section  " 54 "s) " "( BOT ) " NA 2011-08-01 281300000 2013-11-30 2008-12-05 "Sr No. - )" 240 "Naresh kumar Yadav / 9783823023" "Chittorgarh-Kota Tollway Pvt. Ltd." 67 2014-12-01 77 2013-12-01 FALSE
"74" "Upto 3 Axle Vehicle" 285 430 9560 NA " Aroli ( BOT ) " 1 "Monthly applicable local non-commercial vehicles Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Aroli ( BOT )  Km 986.469 - NH-76 (Old 27) in Rajasthan  " " Chittorgarh - Kota Section  " 54 "s) " "( BOT ) " NA 2011-08-01 281300000 2013-11-30 2008-12-05 "Sr No. - )" 240 "Naresh kumar Yadav / 9783823023" "Chittorgarh-Kota Tollway Pvt. Ltd." 67 2014-12-01 77 2013-12-01 FALSE
"75" "4 to 6 Axle" 285 430 9560 NA " Aroli ( BOT ) " 1 "Monthly applicable local non-commercial vehicles Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Aroli ( BOT )  Km 986.469 - NH-76 (Old 27) in Rajasthan  " " Chittorgarh - Kota Section  " 54 "s) " "( BOT ) " NA 2011-08-01 281300000 2013-11-30 2008-12-05 "Sr No. - )" 240 "Naresh kumar Yadav / 9783823023" "Chittorgarh-Kota Tollway Pvt. Ltd." 67 2014-12-01 77 2013-12-01 FALSE
"76" "HCM/EME" 285 430 9560 NA " Aroli ( BOT ) " 1 "Monthly applicable local non-commercial vehicles Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Aroli ( BOT )  Km 986.469 - NH-76 (Old 27) in Rajasthan  " " Chittorgarh - Kota Section  " 54 "s) " "( BOT ) " NA 2011-08-01 281300000 2013-11-30 2008-12-05 "Sr No. - )" 240 "Naresh kumar Yadav / 9783823023" "Chittorgarh-Kota Tollway Pvt. Ltd." 67 2014-12-01 77 2013-12-01 FALSE
"77" "7 or more Axle" 350 525 11640 NA " Aroli ( BOT ) " 1 "Monthly applicable local non-commercial vehicles Rs.230(with in 20 km)" 2015-04-01 2016-03-31 " Aroli ( BOT )  Km 986.469 - NH-76 (Old 27) in Rajasthan  " " Chittorgarh - Kota Section  " 54 "s) " "( BOT ) " NA 2011-08-01 281300000 2013-11-30 2008-12-05 "Sr No. - )" 240 "Naresh kumar Yadav / 9783823023" "Chittorgarh-Kota Tollway Pvt. Ltd." 67 2014-12-01 77 2013-12-01 FALSE
"78" "Car/Jeep/Van" 55 80 1785 NA " Dhaneshwar ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Dhaneshwar ( BOT )  Km 1032.979 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 304800000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Bhavani singh / 7665631866" "Chittorgarh-Kota Tollway Pvt. Ltd." 70 2013-04-01 81 2014-04-01 FALSE
"79" "LCV" 85 130 2885 NA " Dhaneshwar ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Dhaneshwar ( BOT )  Km 1032.979 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 304800000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Bhavani singh / 7665631866" "Chittorgarh-Kota Tollway Pvt. Ltd." 70 2013-04-01 81 2014-04-01 FALSE
"80" "Bus/Truck" 180 270 6040 NA " Dhaneshwar ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Dhaneshwar ( BOT )  Km 1032.979 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 304800000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Bhavani singh / 7665631866" "Chittorgarh-Kota Tollway Pvt. Ltd." 70 2013-04-01 81 2014-04-01 FALSE
"81" "Upto 3 Axle Vehicle" 285 425 9470 NA " Dhaneshwar ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Dhaneshwar ( BOT )  Km 1032.979 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 304800000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Bhavani singh / 7665631866" "Chittorgarh-Kota Tollway Pvt. Ltd." 70 2013-04-01 81 2014-04-01 FALSE
"82" "4 to 6 Axle" 285 425 9470 NA " Dhaneshwar ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Dhaneshwar ( BOT )  Km 1032.979 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 304800000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Bhavani singh / 7665631866" "Chittorgarh-Kota Tollway Pvt. Ltd." 70 2013-04-01 81 2014-04-01 FALSE
"83" "HCM/EME" 285 425 9470 NA " Dhaneshwar ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Dhaneshwar ( BOT )  Km 1032.979 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 304800000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Bhavani singh / 7665631866" "Chittorgarh-Kota Tollway Pvt. Ltd." 70 2013-04-01 81 2014-04-01 FALSE
"84" "7 or more Axle" 345 520 11530 NA " Dhaneshwar ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Dhaneshwar ( BOT )  Km 1032.979 - NH-76 (Old 27 ) in Rajasthan  " " Chittorgarh - Kota Section  " NA "s) " "( BOT ) " NA 2011-08-01 304800000 2013-11-30 2008-12-05 "Sr No. - )" 240 "shri Bhavani singh / 7665631866" "Chittorgarh-Kota Tollway Pvt. Ltd." 70 2013-04-01 81 2014-04-01 FALSE
"85" "Car/Jeep/Van" 80 120 2625 NA " Fatehpur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Fatehpur ( BOT )  Km 1153.290 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 4346300000 2011-09-17 154000000 2013-11-30 2011-06-27 "Sr No. - )" NA "Sh. Bhagat Singh / 8696933972" "Kota Baran Tollway Pvt Ltd" 2068 2014-11-30 1498 2013-11-30 FALSE
"86" "LCV" 125 185 4115 NA " Fatehpur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Fatehpur ( BOT )  Km 1153.290 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 4346300000 2011-09-17 154000000 2013-11-30 2011-06-27 "Sr No. - )" NA "Sh. Bhagat Singh / 8696933972" "Kota Baran Tollway Pvt Ltd" 2068 2014-11-30 1498 2013-11-30 FALSE
"87" "Bus/Truck" 255 380 8470 NA " Fatehpur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Fatehpur ( BOT )  Km 1153.290 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 4346300000 2011-09-17 154000000 2013-11-30 2011-06-27 "Sr No. - )" NA "Sh. Bhagat Singh / 8696933972" "Kota Baran Tollway Pvt Ltd" 2068 2014-11-30 1498 2013-11-30 FALSE
"88" "Upto 3 Axle Vehicle" 390 585 13035 NA " Fatehpur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Fatehpur ( BOT )  Km 1153.290 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 4346300000 2011-09-17 154000000 2013-11-30 2011-06-27 "Sr No. - )" NA "Sh. Bhagat Singh / 8696933972" "Kota Baran Tollway Pvt Ltd" 2068 2014-11-30 1498 2013-11-30 FALSE
"89" "4 to 6 Axle" 390 585 13035 NA " Fatehpur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Fatehpur ( BOT )  Km 1153.290 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 4346300000 2011-09-17 154000000 2013-11-30 2011-06-27 "Sr No. - )" NA "Sh. Bhagat Singh / 8696933972" "Kota Baran Tollway Pvt Ltd" 2068 2014-11-30 1498 2013-11-30 FALSE
"90" "HCM/EME" 390 585 13035 NA " Fatehpur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Fatehpur ( BOT )  Km 1153.290 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 4346300000 2011-09-17 154000000 2013-11-30 2011-06-27 "Sr No. - )" NA "Sh. Bhagat Singh / 8696933972" "Kota Baran Tollway Pvt Ltd" 2068 2014-11-30 1498 2013-11-30 FALSE
"91" "7 or more Axle" 495 740 16460 NA " Fatehpur ( BOT ) " 1 NA 2015-04-01 2016-03-31 " Fatehpur ( BOT )  Km 1153.290 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 4346300000 2011-09-17 154000000 2013-11-30 2011-06-27 "Sr No. - )" NA "Sh. Bhagat Singh / 8696933972" "Kota Baran Tollway Pvt Ltd" 2068 2014-11-30 1498 2013-11-30 FALSE
"92" "Car/Jeep/Van" 45 65 1425 NA " Simliya ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(from 20 km of toll plaza)" 2015-04-01 2016-03-31 " Simliya ( BOT )  Km 1101.680 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 3599400000 2011-09-17 201300000 2013-11-30 2011-06-27 "Sr No. - 1463)" NA "Sh. Raish Bhai / 7665033222" "Kota Baran Tollway Pvt Ltd" 4945 2014-11-30 4300 2013-11-30 FALSE
"93" "LCV" 70 105 2300 NA " Simliya ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(from 20 km of toll plaza)" 2015-04-01 2016-03-31 " Simliya ( BOT )  Km 1101.680 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 3599400000 2011-09-17 201300000 2013-11-30 2011-06-27 "Sr No. - 1463)" NA "Sh. Raish Bhai / 7665033222" "Kota Baran Tollway Pvt Ltd" 4945 2014-11-30 4300 2013-11-30 FALSE
"94" "Bus/Truck" 145 215 4820 NA " Simliya ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(from 20 km of toll plaza)" 2015-04-01 2016-03-31 " Simliya ( BOT )  Km 1101.680 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 3599400000 2011-09-17 201300000 2013-11-30 2011-06-27 "Sr No. - 1463)" NA "Sh. Raish Bhai / 7665033222" "Kota Baran Tollway Pvt Ltd" 4945 2014-11-30 4300 2013-11-30 FALSE
"95" "Upto 3 Axle Vehicle" 225 340 7555 NA " Simliya ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(from 20 km of toll plaza)" 2015-04-01 2016-03-31 " Simliya ( BOT )  Km 1101.680 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 3599400000 2011-09-17 201300000 2013-11-30 2011-06-27 "Sr No. - 1463)" NA "Sh. Raish Bhai / 7665033222" "Kota Baran Tollway Pvt Ltd" 4945 2014-11-30 4300 2013-11-30 FALSE
"96" "4 to 6 Axle" 225 340 7555 NA " Simliya ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(from 20 km of toll plaza)" 2015-04-01 2016-03-31 " Simliya ( BOT )  Km 1101.680 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 3599400000 2011-09-17 201300000 2013-11-30 2011-06-27 "Sr No. - 1463)" NA "Sh. Raish Bhai / 7665033222" "Kota Baran Tollway Pvt Ltd" 4945 2014-11-30 4300 2013-11-30 FALSE
"97" "HCM/EME" 225 340 7555 NA " Simliya ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(from 20 km of toll plaza)" 2015-04-01 2016-03-31 " Simliya ( BOT )  Km 1101.680 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 3599400000 2011-09-17 201300000 2013-11-30 2011-06-27 "Sr No. - 1463)" NA "Sh. Raish Bhai / 7665033222" "Kota Baran Tollway Pvt Ltd" 4945 2014-11-30 4300 2013-11-30 FALSE
"98" "7 or more Axle" 275 415 9200 NA " Simliya ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230(from 20 km of toll plaza)" 2015-04-01 2016-03-31 " Simliya ( BOT )  Km 1101.680 - NH-27 in Rajasthan  " " Kota - Baran Section  " 104.059 "s) " "( BOT ) " 3599400000 2011-09-17 201300000 2013-11-30 2011-06-27 "Sr No. - 1463)" NA "Sh. Raish Bhai / 7665033222" "Kota Baran Tollway Pvt Ltd" 4945 2014-11-30 4300 2013-11-30 FALSE
"99" "Car/Jeep/Van" 69 103 2067 NA " Omallur ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Omallur ( BOT )  Km 191.800 - NH-7 in Tamil Nadu  " " Omallur - Namakkal  " 68.625 "s) " "( BOT ) " 2535000000 2009-08-06 2452500000 2014-05-31 2009-05-08 "Sr No. - 1178" NA "K.N.Murthy / 9994949680" "M.V.R. Infrstructure And Tollways Pvt Ltd." NA 2005-05-31 32788 2014-05-31 FALSE
"100" "LCV" 121 181 3617 NA " Omallur ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Omallur ( BOT )  Km 191.800 - NH-7 in Tamil Nadu  " " Omallur - Namakkal  " 68.625 "s) " "( BOT ) " 2535000000 2009-08-06 2452500000 2014-05-31 2009-05-08 "Sr No. - 1178" NA "K.N.Murthy / 9994949680" "M.V.R. Infrstructure And Tollways Pvt Ltd." NA 2005-05-31 32788 2014-05-31 FALSE
